name,roll_number,phone,year,semester,department,section_name
Aakash Nandipati,24A91A0501,9100000001,1,2,CSE,A
Amulya Maddula,24A91A0502,9100000002,1,2,CSE,A
Aditya Konda,24A91A0503,9100000003,1,2,CSE,A
Ankitha Nelluri,24A91A0504,9100000004,1,2,CSE,A
Akash Potluri,24A91A0505,9100000005,1,2,CSE,A
Aparna Shaik,24A91A0506,9100000006,1,2,CSE,A
Amit Talluri,24A91A0507,9100000007,1,2,CSE,A
Bhavya Vemula,24A91A0508,9100000008,1,2,CSE,A
Anil Pathan,24A91A0509,9100000009,1,2,CSE,A
Chaitra Manne,24A91A0510,9100000010,1,2,CSE,A
Arjun Bandi,24A91A0511,9100000011,1,2,CSE,B
Divya Sappa,24A91A0512,9100000012,1,2,CSE,B
Ashok Gundala,24A91A0513,9100000013,1,2,CSE,B
Esha Chilukuri,24A91A0514,9100000014,1,2,CSE,B
Bhanu Sahu,24A91A0515,9100000015,1,2,CSE,B
Harini Dasari,24A91A0516,9100000016,1,2,CSE,B
Chaitanya Kakarla,24A91A0517,9100000017,1,2,CSE,B
Hema Yerra,24A91A0518,9100000018,1,2,CSE,B
Deepak Vankayala,24A91A0519,9100000019,1,2,CSE,B
Ishita Bolla,24A91A0520,9100000020,1,2,CSE,B
Dinesh Pilli,24A91A0521,9100000021,1,2,CSE,C
Jyothirmai Palagiri,24A91A0522,9100000022,1,2,CSE,C
Eswar Gudivada,24A91A0523,9100000023,1,2,CSE,C
Kavya Mandava,24A91A0524,9100000024,1,2,CSE,C
Gowtham Maddipati,24A91A0525,9100000025,1,2,CSE,C
Lalitha Kakumanu,24A91A0526,9100000026,1,2,CSE,C
Harish Boddu,24A91A0527,9100000027,1,2,CSE,C
Likhitha Koppula,24A91A0528,9100000028,1,2,CSE,C
Jagadeesh Peddinti,24A91A0529,9100000029,1,2,CSE,C
Manasa Vemuri,24A91A0530,9100000030,1,2,CSE,C
Karthik Golla,23A91A0501,9100000031,2,4,CSE,A
Meghana Duvvuri,23A91A0502,9100000032,2,4,CSE,A
Krishna Annam,23A91A0503,9100000033,2,4,CSE,A
Mythili Rachapudi,23A91A0504,9100000034,2,4,CSE,A
Lalith Thota,23A91A0505,9100000035,2,4,CSE,A
Navya Arepalli,23A91A0506,9100000036,2,4,CSE,A
Madhav Kunchala,23A91A0507,9100000037,2,4,CSE,A
Nirmala Yellapu,23A91A0508,9100000038,2,4,CSE,A
Manoj Ganta,23A91A0509,9100000039,2,4,CSE,A
Pallavi Meka,23A91A0510,9100000040,2,4,CSE,A
Mukesh Parasa,23A91A0511,9100000041,2,4,CSE,B
Pooja Challagundla,23A91A0512,9100000042,2,4,CSE,B
Nagaraj Kandula,23A91A0513,9100000043,2,4,CSE,B
Preethi Muvvala,23A91A0514,9100000044,2,4,CSE,B
Nikhil Kothapalli,23A91A0515,9100000045,2,4,CSE,B
Rachana Manepalli,23A91A0516,9100000046,2,4,CSE,B
Pavan Nuthalapati,23A91A0517,9100000047,2,4,CSE,B
Rekha Badugu,23A91A0518,9100000048,2,4,CSE,B
Pranav Sunkara,23A91A0519,9100000049,2,4,CSE,B
Shalini Dondapati,23A91A0520,9100000050,2,4,CSE,B
Prudhvi Palaparthi,23A91A0521,9100000051,2,4,CSE,C
Sirisha Yedla,23A91A0522,9100000052,2,4,CSE,C
Rajesh Gajjela,23A91A0523,9100000053,2,4,CSE,C
Spandana Vadlamudi,23A91A0524,9100000054,2,4,CSE,C
Rakesh Kollipara,23A91A0525,9100000055,2,4,CSE,C
Sridevi Ganji,23A91A0526,9100000056,2,4,CSE,C
Ravi Kommineni,23A91A0527,9100000057,2,4,CSE,C
Supriya Nallamothu,23A91A0528,9100000058,2,4,CSE,C
Sai Maddirala,23A91A0529,9100000059,2,4,CSE,C
Swathi Battula,23A91A0530,9100000060,2,4,CSE,C
Santosh Garapati,22A91A0501,9100000061,3,6,CSE,A
Tejaswini Lanka,22A91A0502,9100000062,3,6,CSE,A
Shankar Pathuri,22A91A0503,9100000063,3,6,CSE,A
Usha Saride,22A91A0504,9100000064,3,6,CSE,A
Srinivas Mandadi,22A91A0505,9100000065,3,6,CSE,A
Varsha Kosuru,22A91A0506,9100000066,3,6,CSE,A
Sunil Alavala,22A91A0507,9100000067,3,6,CSE,A
Yamini Chintala,22A91A0508,9100000068,3,6,CSE,A
Tarun Chappidi,22A91A0509,9100000069,3,6,CSE,A
Swarna Kurella,22A91A0510,9100000070,3,6,CSE,A
Varun Vaddadi,22A91A0511,9100000071,3,6,CSE,B
Amulya Palempalle,22A91A0512,9100000072,3,6,CSE,B
Vijay Vangapandu,22A91A0513,9100000073,3,6,CSE,B
